datamining,KDD,ICDE,ICDM,SDM,PKDD,PAKDD,DMKD,DASFAA,DaWak,WSDM
networking,INFOCOM,MOBICOM,SIGCOMM,VTC,ICC,MobiHoc,IPSN,SenSys,ICNP,NOSSDAV
algorithmandtheory,STOC,FOCS,SODA,LICS,ICALP,SOCG,CONCUR,COLT,CADE,STACS
artificialIntelligence,AAAI,IJCAI,ICML,ICRA,ICGA,UAI,KR,IROS,ATAL,AAMAS
bioinformatics,BioMed,ISMB,RECOMB,ECCB,VBC,CSB,WABI,CBMS,BIBE,CMSB
computerEducation,AIED,ITS,SIGCSE,CSCL,ICCE,FECS,ICALT,WMTE,ITiCSE,CSEE&T
computervision,CVPR,ICCV,ECCV,FGR,BMVC,WACV,ACCV,3DIM,Scale-Space,ICVS
DistributedParallelComputing,ICDCS,PODC,SC,IPDPS,ICS,HPDC,FTCS,ICPP,SPAA,NSDI
ComputerGraphics,SIGGRAPH,IEEE Visualization, I3D,EGSR,GI,INFOVIS,VR,ISMAR,VVS,CA
HardwareAndArchitecture,DAC,ISCAS,ICCAD,MICRO,ISCA,ISPD,ISLPED,HPCA,DATE,FCCM
HumanComputerInteraction,CHI,CSCW,UIST,UbiComp,IUI,ECSCW,ISWC,HCI,DIS,GROUP
InformationRetreivel,SIGIR,TREC,CIKM,DL,JCDL,ECDL,RIAO,MUltimedia Information Retrieval, ECIR,CLEF
MachineLearning,NIPS,ICML,UAI,ICPR,ISNN,COLT,ECML,ICDAR,ICANN,ICA
Multimedia,Storage and Retrieval for Image and Video Databases, MM, ICIP, ICME, DCC, IPMI, AVBPA, VCIP, CIVR, MMSP
NaturalLanguageProcessing, ACL, ICASSP, COLING, NAACL, ANLP, EACL, LREC, EMNLP, HLT, INTERSPEECH
OperatingSystems,USENIX, SOSP, OSDI, NOSSDAV, SIGMETRICS, Hybrid Systems, ASPLOS, HotOS, LISA, EUROSYS
ProgrammingLanguages, POPL, ECOOP, PLDI, OOPSLA, ICLP, CP, FPCA, ESOP, LFP, AOSD
RealTimeEmbeddedSystems, RTSS, CDC, SenSys, CHES, RTAS, ECRTS, CASES, EMSOFT, ISORC, FTRTFT
ScientificComputing, ISSAC, PPSC, ICCS, EUROCAL, SYMSAC, ICECS, AISC, DISCO, EUROSAM, EUSFLAT
SecurityAndPrivacy, CRYPTO, EUROCRYPT, S&P, CCS, NDSS, CSFW, ASIACRYPT, CHES, DSN
Simulation, WSC, MSWIM, PADS, ANSS, MS, DSRT, MABS, SCSC, VRCAI, EMS
SoftwareEngineering, ICSE, ITC, CAV, SPIN, ICSM, TACAS, IFIP, AOSD, WCRE, ASE
